username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
AtheistKlaas,,995,395,15690,2020-10-07 23:18:55,[],@PvdA,@moeva18 @PvdA Is wel de manier om kinderen vanaf de vroegste jeugd te indoctrineren. Zo worden kinderen ook gelovig gemaakt.,False,PVDA,False
JLO6157,,208,79,3404,2020-10-07 23:01:26,[],@PvdA,@PvdA 60% belasting jullie zijn niet wijs!!!!,True,PVDA,False
JLO6157,,208,79,3404,2020-10-07 22:58:20,[],@PvdA,@PvdA En vooral doorgaan met het uitdelen van geld van anderen. Doe eens iets voor degene die dit geld verdienen,True,PVDA,False
JLO6157,,208,79,3404,2020-10-07 22:55:01,[],@PvdA,"@PvdA ""Vanaf 0 jaar naar de voorschool""... Ja joh! Waarom zo lang wachten? Stop ze direct vanuit de couveuse in de opvang. Moeders die baby's (op)voeden en verzorgen is wel zoooo 1950.... Idioten!",True,PVDA,False
NL1miljoen,070 -  DE 'R€CHT$$TAAT' = DOOD,942,449,2810,2020-10-07 22:41:18,[],@PvdA,@PvdA Coronadictatuur op basis van leugens voor iedereen!!!,False,PVDA,False
Momootjem,"Amsterdam, Nederland",929,1170,11788,2020-10-07 22:33:10,[],@PvdA,@PvdA PVDA geeft akkoord voor de gruwel van een spoedwet. De wet die onze democratie dood verklaard,False,PVDA,False
teun12348,Hell on Earth,253,173,5821,2020-10-07 22:21:01,[],@PvdA,@PvdA @Fleur_Ru11 Voorschool??? Nog meer kinderen gaan indoctrineren??,False,PVDA,False
HelderenNuchter,NL,1281,540,18610,2020-10-07 22:15:41,"[{'text': 'toekomst', 'indices': [170, 179]}]",@PvdA,@PvdA Ongelooflijk. Vanaf 0 jr hoor je bij je ouders te zijn. Een basisbeurs? Vinden júllie dat? Goh! En MBO gratis tot 18? Wat dan met HBO of Uni? Onze jongeren zijn DE #toekomst! Studeren moet in zijn geheel gratis worden! Niks geen schulden of uitzonderingen! Waardeloos @pvda!,False,PVDA,False
RobertSlis1,Rotterdam,374,359,22913,2020-10-07 22:15:35,[],@PvdA,@moeva18 @spacema09104056 @PvdA Ja en zoveel mogelijk schade aanrichten,False,PVDA,False
Hoshi63317653,,486,116,2542,2020-10-07 22:12:12,[],@PvdA,"@moeva18 @spacema09104056 @PvdA Een kind mag geen kind meer zijn.Het moet zo snel mogelijk de indoctrinatie onzin van de staat opnemen in hun brein.Doet me denken aan de islam, opgroeien via een boekje.",False,PVDA,False
