username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
Hannesz1956,Nederland,11320,10295,750424,2020-10-07 23:03:47,[],@groenlinks,@HetPapierenHuis @Pearlbitch @biggeveen @VizierOpLinks @groenlinks @maxederijk @Mirjam_de_Rijk @EWdeVlieger Loopt wat door elkaar qua wappie.,False,GL,False
WakkereHarry,,377,585,20229,2020-10-07 22:58:37,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
Marjoli64548561,,459,204,3086,2020-10-07 22:51:29,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
TheLoonranger,Amsterdam,428,167,7506,2020-10-07 22:50:02,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
voetvijf,"Westervoort, Netherlands",687,317,13478,2020-10-07 22:46:14,[],@groenlinks,@coppus @groenlinks is zo communistisch vals,False,GL,False
PeterSt02020969,,88,333,8317,2020-10-07 22:45:09,[],@groenlinks,@alindak36 @groenlinks @jesseklaver @hugodejonge @MinPres Welk normaal mens stemt überhaupt tegen zoiets?,False,GL,False
danny99rdam,,142,84,1702,2020-10-07 22:44:28,[],@groenlinks,"En de hele linkse @groenlinks meute is muisstil en blijft gewoon zitten.En oh ja, corrupt genoemd worden, vinden we een belediging!https://t.co/ZT1N1PVni2",True,GL,False
lizzyvleeuwen,020,359,750,25360,2020-10-07 22:43:10,[],@groenlinks,@groenlinks ontpopt zich tot schurkenpartij. https://t.co/yhwPDoZJhf,False,GL,False
RipaVado,Prachtstad Haarlem,1178,184,3438,2020-10-07 22:37:42,[],@groenlinks,@FritstenHove @coppus @groenlinks Groenlinks zit al met de halve reet in het pluche dus dan weet je het wel. PvdD doet het anders en ben blij voor 99% dat ik daar wel teken bij het kruisje.,False,GL,False
AnythingMaureen,,13287,14139,103171,2020-10-07 22:23:46,[],@groenlinks,@wimjanrenkema Inderdaad onbegrijpelijk. Maar waarom geeft @groenlinks niet het goede voorbeeld door te zorgen dat de eigen partijsite voldoet aan de toegankelijkheidsnormen uit het Besluit Digitale Toegankelijkheid? Daarmee handelt GL zelf evenmin naar het verdrag...,False,GL,False
RobertZieltjens,,269,411,84403,2020-10-07 22:17:20,[],@groenlinks,@groenlinks @BasEickhout Alleen als luchtvaartsector meedoet! Ik weiger te accepteren allerlei dure klimaatmaatregelen te moeten nemen terwijl het aantal vliegbewegingen boven mn huis en dus ook de overlast toeneemt!!,True,GL,False
ansa_h,,38,35,7959,2020-10-07 22:14:25,[],@groenlinks,@groenlinks @BasEickhout Alleen als luchtvaartsector meedoet! Ik weiger te accepteren allerlei dure klimaatmaatregelen te moeten nemen terwijl het aantal vliegbewegingen boven mn huis en dus ook de overlast toeneemt!!,True,GL,False
