username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
Dapperedodo2,,530,445,24517,2020-10-07 20:44:42,[],@PVV,In Duitsland en Oostenrijk melden zich steeds meer (en niet de minste) artsen met kritiek op de -ook daar- disproportionele maatregelen en irrationeel narratief.@WybrenvanHaga @fvdemocratie @pvv @THiddema @thierrybaudet @geertwilderspvv https://t.co/fb8C7ip3Xt,True,PVV,False
a_vermeij,,3815,2403,101456,2020-10-07 20:32:54,[],@PVV,@meindert_de @doarproatlub @AnjaKeuter @cfruytier60 Ook geen @groenlinks maar @pvv,False,PVV,False
eSCulati0n,"Hamaland, land v/ heide & duin",798,165,10707,2020-10-07 18:01:15,[],@PVV,In Duitsland en Oostenrijk melden zich steeds meer (en niet de minste) artsen met kritiek op de -ook daar- disproportionele maatregelen en irrationeel narratief.@WybrenvanHaga @fvdemocratie @pvv @THiddema @thierrybaudet @geertwilderspvv https://t.co/fb8C7ip3Xt,True,PVV,False
RonVermeulen60,Purmerend,67,41,1585,2020-10-07 14:02:55,[],@PVV,"@GraafdeMachiel De @PVV brengt verlossing, daarom 2021 twee stemmen van/via mij......",False,PVV,False
fukkieslim,Vinkeveen,863,288,9687,2020-10-07 12:12:36,[],@PVV,"Deel je een filmpje van de @PVV, ben je meteen een bruinhemd.. De massamedia heeft vele doofstomme volgers.. 🤣 https://t.co/UMyFwuh1ZC",False,PVV,False
kommacoaching,Amsterdam Area,2722,2494,29032,2020-10-07 07:18:29,"[{'text': 'democratie', 'indices': [226, 237]}, {'text': 'onderbouwdbeleid', 'indices': [238, 255]}, {'text': 'proportionaliteit', 'indices': [256, 274]}]",@PVV,@2eKamertweets @2Kamerleden @VVD @CDAvandaag @SPnl @groenlinks @D66 @PvdA @PvdD @50pluspartij @CU_SGP @WybrenvanHaga @PVV @FvDhttps://t.co/5n2sqxd7hChttps://t.co/xy7Vd8jxD7Graag een alternatief bij de komende verkiezingen.#democratie #onderbouwdbeleid #proportionaliteit,False,PVV,False
Ghislaine_BW,"Noord-Brabant, Nederland",375,154,961,2020-10-06 21:56:23,"[{'text': 'integriteit', 'indices': [149, 161]}, {'text': 'stikstof', 'indices': [162, 171]}, {'text': 'rekentruc', 'indices': [172, 182]}]",@PVV,En dit laten alle partijen gewoon gebeuren? Hoe kun je dan nog recht in de spiegel kijken? Je zou voor minder t vertrouwen in de politiek verliezen. #integriteit #stikstof #rekentruc @cdavandaag @VVD @D66 @christenunie @groenlinks @PvdA @fvdemocratie @pvv @PartijvdDieren @DenkNL https://t.co/gw8izGcfvA,False,PVV,False
T_Mandersloot,"Houten, Nederland",622,291,15852,2020-10-06 21:06:09,"[{'text': 'dewereldopzijnkop', 'indices': [106, 124]}]",@PVV,Nou @carolaschouten @MinPres @minlnv wat zeggen jullie van het uitroeien van je eigen agrarische sector?? #dewereldopzijnkop @VVD @PvdA @christenunie @cdavandaag @D66 @groenlinks @fvdemocratie @pvv @SGPnieuws echt lachen zo’n bananenrepubliek https://t.co/SBMn6AbUbI,False,PVV,False
Cicerorecic1,,141,143,3053,2020-10-06 10:13:48,[],@PVV,In Duitsland en Oostenrijk melden zich steeds meer (en niet de minste) artsen met kritiek op de -ook daar- disproportionele maatregelen en irrationeel narratief.@WybrenvanHaga @fvdemocratie @pvv @THiddema @thierrybaudet @geertwilderspvv https://t.co/fb8C7ip3Xt,False,PVV,False
Cicerorecic1,,141,143,3053,2020-10-06 09:48:42,[],@PVV,"(2/2)alweer een interview met een Duitse arts, Prof. Matjes, chef ziekenhuis Havelshöhe, die sterke kritiek uit op de huidige coronamaatregelen. In Duitsland komt een golf op gang. https://t.co/oiSyqGI0Bc @WybrenvanHaga @fvdemocratie @pvv @THiddema @thierrybaudet @geertwilderspvv https://t.co/4J2ptXIkJg",False,PVV,False
dh_wil,Nederland,3044,2899,174409,2020-10-06 07:12:16,[],@PVV,"@PVV geeft geen reet om kinderen, onthoudt dat mensen. Dit heeft geen enkele prio voor die neppartij.Kunnen slapen terwijl dit gebeurd en je er bewust niets tegen onderneemt. Bizar in mijn ogen. https://t.co/OQjSwQcYBK",False,PVV,False
tgv22,"Haarlemmermeer, Noord-Holland",102,405,2317,2020-10-05 20:19:51,"[{'text': 'markrutte', 'indices': [27, 37]}, {'text': 'HugodeJongeKanNiks', 'indices': [41, 60]}]",@PVV,Goed gedaan #markrutte en #HugodeJongeKanNiks.... en de TK zag dat t goed was @PVV @fvdemocratie https://t.co/AgfSOAzmXv,True,PVV,False
KScheringa,"Den Helder, Nederland",1745,1510,95601,2020-10-05 18:04:36,[],@PVV,Laten we met ze allen en ik zeg dit uit mijn ❤️: de politieke naïviteit afstraffen voor instemming met het Europees parlement in 2005! 63% stemde tegen. In maart 2021 geen links of het midden nee stem rechts voor gezonde politiek @fvdemocratie @pvv @WybrenvanHaga voor Nederland.,True,PVV,False
1970_R_Mat,"Amsterdam, Nederland",5000,3230,52774,2020-10-05 17:31:54,[],@PVV,Laten we met ze allen en ik zeg dit uit mijn ❤️: de politieke naïviteit afstraffen voor instemming met het Europees parlement in 2005! 63% stemde tegen. In maart 2021 geen links of het midden nee stem rechts voor gezonde politiek @fvdemocratie @pvv @WybrenvanHaga voor Nederland.,False,PVV,False
PFCBronsema,Delft,1998,1040,56663,2020-10-05 15:38:46,"[{'text': 'HetDerdeRijk2', 'indices': [193, 207]}, {'text': 'EU', 'indices': [215, 218]}]",@PVV,"@VVD En nog de Beste oplossing is dat jullie vertrekken en de macht aan @FvD of @PVV geven. 10 jaar @VVD, jullie hadden ervoor moeten zorgen dat Nederland Nederland blijft en niet verkopen aan #HetDerdeRijk2 (lees: #EU).",False,PVV,False
robgillot,"Groningen, Nederland",730,730,18525,2020-10-05 13:57:26,[],@PVV,Dat is de aard van het beest dat @fvdemocratie of @PVV heet. https://t.co/LaRkxgcW8Y,False,PVV,False
menbearpig1,,4339,2791,192469,2020-10-05 13:15:11,[],@PVV,@rkemp59 @RicharddeMos Dus dat wordt @RicharddeMos @pvv en nog 1tje er bij.,False,PVV,False
jo_14leeuwen,,1429,653,32030,2020-10-05 12:10:59,[],@PVV,"Van geschrokken tot geëmotioneerd: Haagse politici reageren verdeeld op peiling https://t.co/RLx1K3BgD8 Wat heeft de @pvv voor Den Haag gedaan, @SebastiaanKruis heeft niets gedaan, gescholden meer niet.",False,PVV,False
corona_moe,Geboren Scheveninger Nederland,32,14,1524,2020-10-05 08:34:52,[],@PVV,@DDStandaard En zo gaat Nederland langzaam naar de kloten. Geen regering gaat dit nog goed maken. @VVD @CDA @d66 @PVV @FVD Enz.,False,PVV,False
hajos2e,"Den Haag, Nederland",257,147,21663,2020-10-05 06:24:58,"[{'text': 'markrutte', 'indices': [27, 37]}, {'text': 'HugodeJongeKanNiks', 'indices': [41, 60]}]",@PVV,Goed gedaan #markrutte en #HugodeJongeKanNiks.... en de TK zag dat t goed was @PVV @fvdemocratie https://t.co/AgfSOAzmXv,True,PVV,False
goort1409,,1961,1502,31429,2020-10-05 05:44:16,"[{'text': 'markrutte', 'indices': [12, 22]}, {'text': 'HugodeJongeKanNiks', 'indices': [26, 45]}]",@PVV,Goed gedaan #markrutte en #HugodeJongeKanNiks.... en de TK zag dat t goed was @PVV @fvdemocratie https://t.co/AgfSOAzmXv,False,PVV,False
Toedeledokie_58,EHAM,2948,1952,141158,2020-10-04 23:26:07,"[{'text': 'ziekland', 'indices': [244, 253]}]",@PVV,"@VrouwvdVrijheid Stel @PVV krijgt 40 zetels dat is veel..., FvD 15, dan gaat er 1st volop een cordon sanitaire omheen om dan uiteindelijk net zoals de Belgen na een jaar + te komen met een kansloos kabinet van 7 partijen....de politiek is ziek #ziekland",False,PVV,False
FabiusDryxos,(G)Roffa,58,79,16518,2020-10-04 21:39:58,[],@PVV,"@larsroobol @h_rauschenberg @JoriendeLege @Inge1515 Als het aan de rechterzijde van de NL-politiek - @pvv @fvdemocratie - ligt, zouden we dat heel veel verdragen moeten doen: verdragen - iets van elkaar verdragen - moeten we niet doen, we kunnen het wel in ons eentje en anderen vinden dat wel fijn, laten dat sanctieloos gebeuren.",False,PVV,False
StruikelB,,75,166,10723,2020-10-04 19:17:08,[],@PVV,@JanOzephius @rolf_hofsink @Ena52480261 @fvdemocratie @PVV Moet zijn..Politieke correctheid.,False,PVV,False
esther241101,,321,172,10594,2020-10-04 16:34:53,[],@PVV,Crimes against Humanity https://t.co/A2ByMMO4BA via @YouTube @2Kamerleden @2eKamertweets @EersteKamer @PVV @FvD @PvdA @groenlinks @SPnl @CDAvandaag @VVD @CU_SGP @50pluspartij @PvdD @WybrenvanHaga Bedenk waar u staat als u stemt over de spoedwet en meegaat in de maatregelen.,True,PVV,False
BruceFutur1,"Scotland, United Kingdom",126,148,2710,2020-10-04 15:52:21,[],@PVV,Crimes against Humanity https://t.co/A2ByMMO4BA via @YouTube @2Kamerleden @2eKamertweets @EersteKamer @PVV @FvD @PvdA @groenlinks @SPnl @CDAvandaag @VVD @CU_SGP @50pluspartij @PvdD @WybrenvanHaga Bedenk waar u staat als u stemt over de spoedwet en meegaat in de maatregelen.,True,PVV,False
stopumts,Nederland,4822,1743,33937,2020-10-04 15:33:39,[],@PVV,Crimes against Humanity https://t.co/A2ByMMO4BA via @YouTube @2Kamerleden @2eKamertweets @EersteKamer @PVV @FvD @PvdA @groenlinks @SPnl @CDAvandaag @VVD @CU_SGP @50pluspartij @PvdD @WybrenvanHaga Bedenk waar u staat als u stemt over de spoedwet en meegaat in de maatregelen.,True,PVV,False
AnthonySc6,Naast t Huis voor #Klokkenluiders in #BeerputNederland,4976,2739,165950,2020-10-04 15:31:58,[],@PVV,Crimes against Humanity https://t.co/A2ByMMO4BA via @YouTube @2Kamerleden @2eKamertweets @EersteKamer @PVV @FvD @PvdA @groenlinks @SPnl @CDAvandaag @VVD @CU_SGP @50pluspartij @PvdD @WybrenvanHaga Bedenk waar u staat als u stemt over de spoedwet en meegaat in de maatregelen.,True,PVV,False
Janlammerts,"Friesland, Nederland",160,185,19122,2020-10-04 14:15:27,[],@PVV,Crimes against Humanity https://t.co/A2ByMMO4BA via @YouTube @2Kamerleden @2eKamertweets @EersteKamer @PVV @FvD @PvdA @groenlinks @SPnl @CDAvandaag @VVD @CU_SGP @50pluspartij @PvdD @WybrenvanHaga Bedenk waar u staat als u stemt over de spoedwet en meegaat in de maatregelen.,True,PVV,False
StruikelB,,75,166,10723,2020-10-04 13:55:21,[],@PVV,"@JanOzephius @rolf_hofsink @Ena52480261 @fvdemocratie @PVV We moeten heel snel, af van politie correctheid. Dat omvolken een gevaar is zien we iedere dag weer. Daar is de politiek schuldig aan! Maar met praten komen ee er niet meer. Boycot bedrijven die zich medeschuldig aan dit verraad! Laat het ze voelen!",False,PVV,False
StruikelB,,75,166,10723,2020-10-04 13:52:34,[],@PVV,@rolf_hofsink @Ena52480261 😂De werkelijkheid is dat vanwege de corona maatregelen hotels failliet dreigen te gaan. Ze gaan deze nu vullen met arbeidsmigranten. Daarvoor is vrijwel geen personeel meer nodig. Ook dit is verschrikkelijk voor heel veel Nederlanders. #stemzeweg Stem @fvdemocratie of @pvv,True,PVV,False
Patrick96813811,,90,35,211,2020-10-04 13:25:40,[],@PVV,"@JansendeJan @EWindt @PVV Wilders voor de middenklasse?? De man is net zo links als de SP, juist in de middenklasse zit een heel groot gedeelte van het electoraat van FvD",False,PVV,False
kommacoaching,Amsterdam Area,2722,2494,29032,2020-10-04 13:21:47,[],@PVV,@2Kamerleden @2eKamertweets @EersteKamer @PVV @FvD @VVD @CDAvandaag @SPnl @groenlinks @WybrenvanHaga @D66 @PvdD @PvdA Hoe kan het dat een wet die nog niet is ingegaan al wel in lesboeken over publieksrecht staat?https://t.co/Ig3EMlTPGl https://t.co/HmDDyvdWma,False,PVV,False
kommacoaching,Amsterdam Area,2722,2494,29032,2020-10-04 13:06:12,[],@PVV,Crimes against Humanity https://t.co/A2ByMMO4BA via @YouTube @2Kamerleden @2eKamertweets @EersteKamer @PVV @FvD @PvdA @groenlinks @SPnl @CDAvandaag @VVD @CU_SGP @50pluspartij @PvdD @WybrenvanHaga Bedenk waar u staat als u stemt over de spoedwet en meegaat in de maatregelen.,False,PVV,False
richard32496489,,877,181,13900,2020-10-04 11:07:53,[],@PVV,@Muze211 @Marcel73020493 Deze overnachtingen van illegalen wordt mede betaald door de Nederlandse belastingbetaler. @fvdemocratie @pvv @CommonSense_TV @BreitbartNews @THiddema @qeertwilderspvv,False,PVV,False
JanOzephius,,655,270,3985,2020-10-04 08:17:01,"[{'text': 'stemzeweg', 'indices': [263, 273]}]",@PVV,@rolf_hofsink @Ena52480261 😂De werkelijkheid is dat vanwege de corona maatregelen hotels failliet dreigen te gaan. Ze gaan deze nu vullen met arbeidsmigranten. Daarvoor is vrijwel geen personeel meer nodig. Ook dit is verschrikkelijk voor heel veel Nederlanders. #stemzeweg Stem @fvdemocratie of @pvv,False,PVV,False
