username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
laylaklioual,,195,116,1790,2020-10-07 22:58:35,[],@DenkNL,Waar blijft de verontwaardiging van @DenkNL @F_azarkan @tunahankuzu ?? https://t.co/ufroGC1Glx,True,DENK,False
Jourtje1,,219,48,3452,2020-10-07 22:01:40,[],@DenkNL,"@leenvandijke Armenië moet niks. @DenkNL moet eens ophouden hier het turkse parlement te vertegenwoordigen. Je bent hier in Nederland, gedraag je dan ook zo @DenkNL .",False,DENK,False
VanRossum18,,25,6,2415,2020-10-07 21:54:23,[],@DenkNL,"@F_azarkan @DenkNL Ik vind zijn redenatie en zijn bezorgdheid over ons wel goed, maar gelukkig dat hij niet over het arme gemanipuleerde  Nederlandse volk regeert.",False,DENK,False
Ruvaniek,,128,19,1286,2020-10-07 21:52:40,"[{'text': 'COVID19NL', 'indices': [177, 187]}, {'text': 'COVIDー19', 'indices': [188, 197]}, {'text': 'corona', 'indices': [198, 205]}, {'text': 'coronawet', 'indices': [206, 216]}, {'text': 'coronadebat', 'indices': [219, 231]}, {'text': 'coronavirus', 'indices': [232, 244]}, {'text': 'WhyAreTheyDoingThis', 'indices': [245, 265]}]",@DenkNL,@VVD @fvdemocratie @geertwilderspvv @cdavandaag @D66 @christenunie @groenlinks @PvdA @DenkNL @HenkKrol @WybrenvanHaga @MarijnissenL Zo kan het dus ook:https://t.co/ia9BU4EcYW#COVID19NL #COVIDー19 #corona #coronawet ? #coronadebat #coronavirus #WhyAreTheyDoingThis,False,DENK,False
NoudHeijna,Nederland,843,275,13439,2020-10-07 21:17:40,[],@DenkNL,@MinPres @vvd @cdavandaag @christenunie @PvdA @D66 @SPnl @groenlinks @PartijvdDieren @DenkNL Gaan we ACTIE ondernemen???? Of wachten we af tot na de verkiezingen??? https://t.co/jOgWBmbN6g,False,DENK,False
Cypress_NL,The Netherlands,117,273,8734,2020-10-07 21:08:22,[],@DenkNL,Boek. @DeGroenen @PartijvdDieren @VoltBelgium @groenlinks @vandeRegio @SPnl @DenkNL @D66Int @50pluspartij @VoltNederland @cdavandaag @PvdA. https://t.co/ME7OtfA5r6,False,DENK,False
Djanazah,,281,115,10917,2020-10-07 20:46:49,[],@DenkNL,Waar blijft de verontwaardiging van @DenkNL @F_azarkan @tunahankuzu ?? https://t.co/ufroGC1Glx,False,DENK,False
eagleey22627291,,286,276,11460,2020-10-07 20:10:22,[],@DenkNL,@hugodejonge @jankluytmans @AmphiaZKHuis Stemmen vóór de SPOEDWET is een stem TÉGEN het volk. Bedenk dat het vóór stemmen u straks een plaats in een penetiaire inrichting opleverd. Trials are coming worldwide:https://t.co/Krrl2axEeo@vvd @groenlinks @PvdA @cdavandaag @D66 @DenkNL@jesseklaver @RobJetten,True,DENK,False
Omakoe2,,3172,2487,46175,2020-10-07 19:18:24,[],@DenkNL,@hugodejonge @jankluytmans @AmphiaZKHuis Stemmen vóór de SPOEDWET is een stem TÉGEN het volk. Bedenk dat het vóór stemmen u straks een plaats in een penetiaire inrichting opleverd. Trials are coming worldwide:https://t.co/Krrl2axEeo@vvd @groenlinks @PvdA @cdavandaag @D66 @DenkNL@jesseklaver @RobJetten,True,DENK,False
Lioneljaar,Twitterpark ,173,586,51516,2020-10-07 19:15:04,[],@DenkNL,Behalve @DenkNL en @groenlinks houdt iedereen vast aan deze vorm van institutionele islamofobie https://t.co/q9EUL9uqDP,True,DENK,False
Twiidhar,#Somali fan of #Istanbul,728,182,8649,2020-10-07 18:38:02,[],@DenkNL,Behalve @DenkNL en @groenlinks houdt iedereen vast aan deze vorm van institutionele islamofobie https://t.co/q9EUL9uqDP,True,DENK,False
alex_grunn,Online,697,863,3429,2020-10-07 18:28:14,[],@DenkNL,@VVD @geertwilderspvv @cdavandaag @D66 @groenlinks @SPnl @PvdA @christenunie @PartijvdDieren @50pluspartij @SGPnieuws @DenkNL @Partijvoordetoe @FemkeMerel @WybrenvanHaga @fvdemocratie #StopdezeCoronaKolder#StopDeSpoedwet #GooiHetLandOpen#StopMaatregelenKijk ..Dit...👇👇👇 https://t.co/EARNw7re51,True,DENK,False
ElisabethMusq,The Netherlands,1363,429,5970,2020-10-07 18:14:28,[],@DenkNL,@VVD @geertwilderspvv @cdavandaag @D66 @groenlinks @SPnl @PvdA @christenunie @PartijvdDieren @50pluspartij @SGPnieuws @DenkNL @Partijvoordetoe @FemkeMerel @WybrenvanHaga @fvdemocratie #StopdezeCoronaKolder#StopDeSpoedwet #GooiHetLandOpen#StopMaatregelenKijk ..Dit...👇👇👇 https://t.co/EARNw7re51,True,DENK,False
MiekeHoogvliet,,3059,1633,31134,2020-10-07 17:23:14,[],@DenkNL,@hugodejonge @jankluytmans @AmphiaZKHuis Stemmen vóór de SPOEDWET is een stem TÉGEN het volk. Bedenk dat het vóór stemmen u straks een plaats in een penetiaire inrichting opleverd. Trials are coming worldwide:https://t.co/Krrl2axEeo@vvd @groenlinks @PvdA @cdavandaag @D66 @DenkNL@jesseklaver @RobJetten,True,DENK,False
bert5611,,149,105,14047,2020-10-07 17:19:21,[],@DenkNL,Behalve @DenkNL en @groenlinks houdt iedereen vast aan deze vorm van institutionele islamofobie https://t.co/q9EUL9uqDP,True,DENK,False
beingonbeing,,3122,2056,93522,2020-10-07 17:17:32,[],@DenkNL,@hugodejonge @jankluytmans @AmphiaZKHuis Stemmen vóór de SPOEDWET is een stem TÉGEN het volk. Bedenk dat het vóór stemmen u straks een plaats in een penetiaire inrichting opleverd. Trials are coming worldwide:https://t.co/Krrl2axEeo@vvd @groenlinks @PvdA @cdavandaag @D66 @DenkNL@jesseklaver @RobJetten,True,DENK,False
tvtwiet,,90,60,6166,2020-10-07 17:10:35,[],@DenkNL,@hugodejonge @jankluytmans @AmphiaZKHuis Stemmen vóór de SPOEDWET is een stem TÉGEN het volk. Bedenk dat het vóór stemmen u straks een plaats in een penetiaire inrichting opleverd. Trials are coming worldwide:https://t.co/Krrl2axEeo@vvd @groenlinks @PvdA @cdavandaag @D66 @DenkNL@jesseklaver @RobJetten,True,DENK,False
