username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
radiatorkachel,,124,3,341,2020-10-07 22:32:17,[],@D66,"@D66 @SigridKaag Ja, mensen zijn doodgegaan door goedkeuring van D66 in de zinloze oorlog in irak",False,D66,False
19joker67,THE Netherlands,794,603,36699,2020-10-07 22:14:55,[],@D66,Waarom toch elke keer weer die leden van dat splinterpartijtje @D66 die ongestoord propaganda mogen spuien op onze kosten??😡😡@fidanekiz https://t.co/NkKoze9zfC,False,D66,False
LeefbaarD,"Rotterdam, Nederland",568,172,7380,2020-10-07 22:13:52,[],@D66,Hier zult u @groenlinks of @D66 nu nooit als eerste over horen....Politiek is in zijn algemeenheid buitengewoon stil over dit systeem van meten met 2 maten. Nog verbaasd dat er trekkers in Den Haag waren? https://t.co/UtMfT8hwTs,True,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 22:09:07,[],@D66,@DieTukkerfries @Bowidean @Kortom_Tom @D66 Maar natuurlijk.,False,D66,False
DieTukkerfries,Enschede,1126,14144,160446,2020-10-07 22:08:57,[],@D66,@fllosoof @Bowidean @Kortom_Tom @D66 Dan zijn wij het compleet oneens. Dat mag.,False,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 22:08:32,[],@D66,@DieTukkerfries @Bowidean @Kortom_Tom @D66 En terecht dat het veel te weinig wordt belast.,False,D66,False
DieTukkerfries,Enschede,1126,14144,160446,2020-10-07 22:07:55,[],@D66,@fllosoof @Bowidean @Kortom_Tom @D66 Gelijk nog een extra tarief op kapitaal en niet op loon. Want vooral dat eerste wordt veel te weinig belast.,False,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 22:06:47,[],@D66,"@DieTukkerfries @Bowidean @Kortom_Tom @D66 Nee, bedankt.",False,D66,False
DieTukkerfries,Enschede,1126,14144,160446,2020-10-07 22:06:27,[],@D66,@fllosoof @Bowidean @Kortom_Tom @D66 Nee hoor. Mag nog veel meer.,False,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 22:06:02,[],@D66,@DieTukkerfries @Bowidean @Kortom_Tom @D66 Overigens de belastingen omhoog is een krankzinnig idee. De rijksten betalen nu al bijna voor alles.,False,D66,False
peetvl,Nl,56,38,4729,2020-10-07 22:04:52,[],@D66,@NicoleTemmink Wat een aanfluiting van die @Sneller en @D66! Dit is dus waarom mensen politici voor geen cent meer vertrouwen. In verkiezingsprogramma's en op tv A zeggen en nog geen half uur later in de Kamer Z doen. Bah!,True,D66,False
Gkraankra,,1889,848,131231,2020-10-07 22:02:53,"[{'text': 'Biomassa', 'indices': [21, 30]}]",@D66,"#Biomassa zorgt voor ontbossing van de aarde en voor zwaar vervuilde uitstoot. Allemaal onder het mom van #klimaatverandering wordt #Biomassa met miljarden gesubsidieerd. Mede dankzij @Groenlinks @D66 , @VVD @SPnl  Schandalige politiek https://t.co/xI0w5dCWxC",True,D66,False
mikewerkhoven,bilthoven,561,79,5648,2020-10-07 21:59:05,"[{'text': 'huren', 'indices': [37, 43]}, {'text': 'Huuromlaag', 'indices': [64, 75]}, {'text': 'huur', 'indices': [76, 81]}]",@D66,"Meer inkomen koningshuis en voor ons #huren omhoog, LOGISCH HÈ.#Huuromlaag #huur @huurdersPvdA @huurdersclub @huurdersbond @huurdersopstand @huurcommissie_i @PrecWoonvormen  @VVD @PvdA @D66 @cdavandaag @christenunie https://t.co/uPABoQIs9P",False,D66,False
Ingebor86819518,Amsterdam ,362,804,21381,2020-10-07 21:58:17,"[{'text': 'Biomassa', 'indices': [0, 9]}, {'text': 'klimaatverandering', 'indices': [106, 125]}, {'text': 'Biomassa', 'indices': [132, 141]}]",@D66,"#Biomassa zorgt voor ontbossing van de aarde en voor zwaar vervuilde uitstoot. Allemaal onder het mom van #klimaatverandering wordt #Biomassa met miljarden gesubsidieerd. Mede dankzij @Groenlinks @D66 , @VVD @SPnl  Schandalige politiek https://t.co/xI0w5dCWxC",False,D66,False
DieTukkerfries,Enschede,1126,14144,160446,2020-10-07 21:55:27,[],@D66,@fllosoof @Bowidean @Kortom_Tom @D66 Het is een altijd balans. En die balans is nu compleet zoek.,False,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 21:55:00,[],@D66,@DieTukkerfries @Bowidean @Kortom_Tom @D66 De economische groei is juist gunstig voor het menselijk welzijn.,False,D66,False
DieTukkerfries,Enschede,1126,14144,160446,2020-10-07 21:53:19,[],@D66,"@fllosoof @Bowidean @Kortom_Tom @D66 Van mij mogen belastingen dan ook flink omhoog om de verschillen tussen de arm en rijk glad te plooien. Het menselijk welzijn zou centraal moeten zijn, niet de eeuwige economische groei.",False,D66,False
Ruvaniek,,128,19,1286,2020-10-07 21:52:40,"[{'text': 'COVID19NL', 'indices': [177, 187]}, {'text': 'COVIDー19', 'indices': [188, 197]}, {'text': 'corona', 'indices': [198, 205]}, {'text': 'coronawet', 'indices': [206, 216]}, {'text': 'coronadebat', 'indices': [219, 231]}, {'text': 'coronavirus', 'indices': [232, 244]}, {'text': 'WhyAreTheyDoingThis', 'indices': [245, 265]}]",@D66,@VVD @fvdemocratie @geertwilderspvv @cdavandaag @D66 @christenunie @groenlinks @PvdA @DenkNL @HenkKrol @WybrenvanHaga @MarijnissenL Zo kan het dus ook:https://t.co/ia9BU4EcYW#COVID19NL #COVIDー19 #corona #coronawet ? #coronadebat #coronavirus #WhyAreTheyDoingThis,False,D66,False
HomePiggy,,1424,1350,46892,2020-10-07 21:52:31,[],@D66,"@TimmermansEU @diederiksamsom @Groenlinks @D66 Vraag eens aan Aboriginals, brandweermannen bijv in Australië. Gecontroleerde branden op z'n tijd, wel of juist geen bosbeheer, geen overmatige bomenkap, https://t.co/h6dpWh4c5i",False,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 21:51:51,[],@D66,@DieTukkerfries @Bowidean @Kortom_Tom @D66 Niet alles is een prioriteit van de overheid.,False,D66,False
DieTukkerfries,Enschede,1126,14144,160446,2020-10-07 21:51:10,[],@D66,@fllosoof @Bowidean @Kortom_Tom @D66 Nee hoor. Kwestie van prioriteiten stellen.,False,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 21:50:51,[],@D66,@DieTukkerfries @Bowidean @Kortom_Tom @D66 Onbetaalbaar.,False,D66,False
fllosoof,Château de La Brède,154,269,7684,2020-10-07 21:50:21,[],@D66,@DieTukkerfries @Bowidean @Kortom_Tom @D66 Stem dan op GroenLinks.,False,D66,False
