username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
bart_vanmoorsel,Deventer,505,457,664,2020-10-07 22:21:26,"[{'text': 'N35', 'indices': [43, 47]}]",@cdavandaag,‘Trotse ouders Cora en Bert’: dorpen langs #N35 vragen op ludieke wijze aandacht voor aanpak rijksweg⁦@CDAOverijssel⁩ ⁦@WytskePostmaCDA⁩  ⁦@cdavandaag⁩https://t.co/eo84h3Ttcg,False,CDA,False
LisanSpanbroek,"Olst-Wijhe, Nederland",1265,1342,18758,2020-10-07 22:08:24,[],@cdavandaag,Het maken van foto's en video's van slachtoffers van een ongeluk is heel verwerpelijk. Het delen van dit soort beelden op sociale media moet dan ook strafbaar worden. 🔗 Lees verder: https://t.co/cnBSIwPEWy https://t.co/zfeclZr3WZ,True,CDA,False
LvdZee4,"Friesland, Nederland",91,41,2408,2020-10-07 22:06:21,"[{'text': 'Overijssel', 'indices': [46, 57]}]",@cdavandaag,Heel erg jammer! @cdavandaag #Overijssel https://t.co/9H2pBwZmVf,True,CDA,False
mikewerkhoven,bilthoven,561,79,5648,2020-10-07 21:59:05,"[{'text': 'huren', 'indices': [37, 43]}, {'text': 'Huuromlaag', 'indices': [64, 75]}, {'text': 'huur', 'indices': [76, 81]}]",@cdavandaag,"Meer inkomen koningshuis en voor ons #huren omhoog, LOGISCH HÈ.#Huuromlaag #huur @huurdersPvdA @huurdersclub @huurdersbond @huurdersopstand @huurcommissie_i @PrecWoonvormen  @VVD @PvdA @D66 @cdavandaag @christenunie https://t.co/uPABoQIs9P",False,CDA,False
OzdemirC2244,,509,239,8085,2020-10-07 21:57:52,[],@cdavandaag,Wat mensen niet schijnen te of willen begrijpen is dat in Noord-Brabant het @cdavandaag en de @VVD openlijk besturen met een fascistische partij.,True,CDA,False
Ruvaniek,,128,19,1286,2020-10-07 21:52:40,"[{'text': 'COVID19NL', 'indices': [177, 187]}, {'text': 'COVIDー19', 'indices': [188, 197]}, {'text': 'corona', 'indices': [198, 205]}, {'text': 'coronawet', 'indices': [206, 216]}, {'text': 'coronadebat', 'indices': [219, 231]}, {'text': 'coronavirus', 'indices': [232, 244]}, {'text': 'WhyAreTheyDoingThis', 'indices': [245, 265]}]",@cdavandaag,@VVD @fvdemocratie @geertwilderspvv @cdavandaag @D66 @christenunie @groenlinks @PvdA @DenkNL @HenkKrol @WybrenvanHaga @MarijnissenL Zo kan het dus ook:https://t.co/ia9BU4EcYW#COVID19NL #COVIDー19 #corona #coronawet ? #coronadebat #coronavirus #WhyAreTheyDoingThis,False,CDA,False
SeldersKroezen,,882,595,7834,2020-10-07 21:51:52,[],@cdavandaag,Het maken van foto's en video's van slachtoffers van een ongeluk is heel verwerpelijk. Het delen van dit soort beelden op sociale media moet dan ook strafbaar worden. 🔗 Lees verder: https://t.co/cnBSIwPEWy https://t.co/zfeclZr3WZ,True,CDA,False
gvanstelten,Venray,241,187,1668,2020-10-07 21:44:39,[],@cdavandaag,Het maken van foto's en video's van slachtoffers van een ongeluk is heel verwerpelijk. Het delen van dit soort beelden op sociale media moet dan ook strafbaar worden. 🔗 Lees verder: https://t.co/cnBSIwPEWy https://t.co/zfeclZr3WZ,True,CDA,False
Wimpelientje,,585,229,6962,2020-10-07 21:43:59,[],@cdavandaag,Wat mensen niet schijnen te of willen begrijpen is dat in Noord-Brabant het @cdavandaag en de @VVD openlijk besturen met een fascistische partij.,True,CDA,False
PeZephat,Hengelo Ov. ,246,272,35136,2020-10-07 21:39:33,[],@cdavandaag,@Louisschat @VVD @cdavandaag @D66 @christenunie @FleurAgemaPVV @PvdA @groenlinks @SPnl En dat is geen nieuws. Al jaren een onder geschoven kind maar ee gebeurt helemaal niets! De ZV wringen de hele eerste lijn uit tot op het bot!,True,CDA,False
PeZephat,Hengelo Ov. ,246,272,35136,2020-10-07 21:37:57,[],@cdavandaag,@VVD @cdavandaag @D66 @christenunie @FleurAgemaPVV @PvdA @groenlinks @SPnl zijn jullie je ervan bewust dat de zorgverzekeraars de eerstelijns zorg aan het kapotmaken zijn?,True,CDA,False
Nitram055,🇳🇱,2522,1743,24239,2020-10-07 21:28:58,"[{'text': 'hugokanniks', 'indices': [32, 44]}]",@cdavandaag,"Mijn goede vriend #hugokanniks is altijd te laat, ook vanochtend bij de behandeling van zijn spoedwet (eerste termijn).Pure #minachting voor alles en iedereen, typisch @cdavandaag https://t.co/62eCfsPYSh",True,CDA,False
Bowie43695209,,111,6,180,2020-10-07 21:23:18,[],@cdavandaag,"@Complot_Denker @MinPres @hugodejonge @rivm @MinVWS @VVD @christenunie @cdavandaag @D66 In ons ziekenhuis kan er sinds gisteren minder reguliere zorg geregeld worden. Vergeet niet dat de patiëntengroepen niet met elkaar in aanraking moeten komen, dat afstanden in wachtkamers ook aangehouden moeten worden, dat personeel ook wordt besmet en niet meer inzetbaar is",False,CDA,False
john_61,"Belgium, LA, Bali ",1805,1805,14368,2020-10-07 21:22:28,[],@cdavandaag,"Wanneer gaan domme mensen EINDELIJK inzien dat @VVD @cdavandaag @D66 en alle andere kartelpartijen NIET rechts, maar extreem LINKSCH zijn?Rechts betekent MINDER belastingen, MINDER regeltjes en MINDER gratis geld voor klaplopers.Dat wordt allemaal steeds MEER, MEER, MEER. https://t.co/STPSCcRJeX",True,CDA,False
NoudHeijna,Nederland,843,275,13439,2020-10-07 21:17:40,[],@cdavandaag,@MinPres @vvd @cdavandaag @christenunie @PvdA @D66 @SPnl @groenlinks @PartijvdDieren @DenkNL Gaan we ACTIE ondernemen???? Of wachten we af tot na de verkiezingen??? https://t.co/jOgWBmbN6g,False,CDA,False
JJeltix,Nederland,269,78,1350,2020-10-07 21:15:44,[],@cdavandaag,Hoe kan het zo zijn dat we met 300 ziekenhuizen in Nederland de 1000 corona patiënten niet netjes kunnen verdelen. Als elk ziekenhuis 4 patiënten heeft dan wordt de reguliere zorg minimaal geraakt. Solidariteit binnen de zorg @cdavandaag @MarijnissenL @VVD @groenlinks,False,CDA,False
AstridLanslots,,332,151,3050,2020-10-07 21:14:23,[],@cdavandaag,1/2 Veel dank @RenePetersOss @cdavandaag 🍏Dat je onze strijd snapt: het gaat om emancipatie van Nldse vrouwen ipv integratie: kansen en mogelijkheden voor iedereen!🍏Steun tegen onderdrukking!,True,CDA,False
ChrisHagenviet,,67,28,13560,2020-10-07 21:14:22,[],@cdavandaag,@NOS @VVD @cdavandaag @christenunie @D66 @khadijaArib @thierrybaudet @geertwilderspvv @dijkhoff @MarijnissenL @HenkKrol @jesseklaver @RobJetten @LodewijkA @PieterHeerma @gertjansegers @keesvdstaaij @MinPres @MinBijleveld We gaan toch nog wel op uitzending?,False,CDA,False
ghurabalbayn,Germany,352,268,4507,2020-10-07 21:10:46,[],@cdavandaag,"@zsonor2 @197winstonsmith @cdavandaag @VVD Dat denk ik ook. COVID19, klimaat en fascisme.",False,CDA,False
Cypress_NL,The Netherlands,117,272,8734,2020-10-07 21:08:22,[],@cdavandaag,Boek. @DeGroenen @PartijvdDieren @VoltBelgium @groenlinks @vandeRegio @SPnl @DenkNL @D66Int @50pluspartij @VoltNederland @cdavandaag @PvdA. https://t.co/ME7OtfA5r6,False,CDA,False
zsonor2,Nederland,550,253,6387,2020-10-07 21:08:06,[],@cdavandaag,@ghurabalbayn @197winstonsmith @cdavandaag @VVD 2021 wordt erger dan 2020.,False,CDA,False
Karel58673420,,10,52,2911,2020-10-07 21:07:05,[],@cdavandaag,@Bowie43695209 @Complot_Denker @MinPres @hugodejonge @rivm @MinVWS @VVD @christenunie @cdavandaag @D66 Die drukte was er misschien minder geweest als dit zelfde kabinet de afgelopen jaren niet alles in de zorg hadden wegbezuinigd... Maar daar zul je ze niet over horen.,False,CDA,False
KAvezaath,,130,181,11827,2020-10-07 21:06:15,[],@cdavandaag,Wat mensen niet schijnen te of willen begrijpen is dat in Noord-Brabant het @cdavandaag en de @VVD openlijk besturen met een fascistische partij.,True,CDA,False
Dapperedodo2,,530,445,24517,2020-10-07 21:03:00,[],@cdavandaag,@povermania @ArmeZeeuw @cdavandaag @SGPnieuws @christenunie Schijnheiligen.,False,CDA,False
Dapperedodo2,,530,445,24517,2020-10-07 21:02:05,"[{'text': 'spoedwet', 'indices': [16, 25]}]",@cdavandaag,#spoedwet aan alle stemmers op het @cdavandaag @SGPnieuws @christenunie jullie ziel is verkocht aan de duivel!,True,CDA,False
Bowie43695209,,111,6,180,2020-10-07 20:59:43,[],@cdavandaag,@Complot_Denker @MinPres @hugodejonge @rivm @MinVWS @VVD @christenunie @cdavandaag @D66 Misschien ook goed om te weten dat het nu drukker is op poli hart-long: restschade na Corona. Dus ook drukker op onderzoeksafdelingen.,False,CDA,False
Bowie43695209,,111,6,177,2020-10-07 20:58:08,[],@cdavandaag,"@Complot_Denker @MinPres @hugodejonge @rivm @MinVWS @VVD @christenunie @cdavandaag @D66 Je hebt het bewust alleen over de doden en niet over al die mensen die ziek thuis of opgenomen waren? Gewone werknemers die doodziek werden waar velen nog steeds last van hebben? Meld je eens aan als vrijwilliger in ziekenhuis, ga je dingen snappen.",False,CDA,False
