username,location,following,followers,totaltweets,tweetcreatedts,hashtags,query,text,retweet,party,targeted
TwitMau1,Netherlands,134,31,1116,2020-10-07 23:59:36,[],@SGPnieuws,@floyd_purper @sari32264489 @KrijtjevdStoep @147Luuk @SGPnieuws Je bedoelt belangenvertegenwoordiger,False,SGP,False
robert195904,,232,66,3521,2020-10-07 23:47:28,[],@SGPnieuws,"@KrijtjevdStoep @SGPnieuws En zo regeerd een niet bestaande god in de vorm van één van de kleinste politieke partijen in de tk nog steeds ons land, ondanks de massale ontkerking in NL",False,SGP,False
Hannesz1956,Nederland,11321,10295,750452,2020-10-07 22:59:42,"[{'text': 'AantjesARP', 'indices': [154, 165]}]",@SGPnieuws,@VandeWerkvloer @TPOnl @SGPnieuws @keesvdstaaij Het blijven Mannenbroeders. Met ootmoed en respect voor de volgens hen door God gegeven overheid. Zie ook #AantjesARP,False,SGP,False
Hannesz1956,Nederland,11321,10295,750452,2020-10-07 22:58:24,[],@SGPnieuws,"@TPOnl @Hannesz1956 Tegenvaller die @SGPnieuws @keesvdstaaij vandaag, zo zie je maar weer...",True,SGP,False
Horl,"The Hague, The Netherlands",1602,751,81640,2020-10-07 22:40:31,"[{'text': 'Spoedwet', 'indices': [50, 59]}]",@SGPnieuws,"Ik begrijp dat @SGPnieuws  de #Spoedwet  wil steunen op voorwaarde dat de kerken lekker met 650 op een kluitje mogen zingen. Zo niet, dan steunt Keesje 't pakket maatregelen niet. Ik noem dat chantage.",True,SGP,False
janiedejong,,60,425,1380,2020-10-07 22:24:42,[],@SGPnieuws,"Zojuist nam de Tweede Kamer een motie aan van @keesvdstaaij om te proberen Nederlandse kunstwerken zoals ‘De verloren zoon’ van Rembrandt uit Rusland naar NL te halen.Dit kunstwerk stond centraal bij de bijdrage van Van der Staaij aan de #APB2019, zie: https://t.co/99QWWpsEgY https://t.co/1U78RgmWhw",True,SGP,False
vergezicht3,,114,117,9243,2020-10-07 22:22:23,[],@SGPnieuws,“Stel je eens voor dat er een God is...”Ga voor de hele bijdrage van @keesvdstaaij naar: https://t.co/zeWdLnmWEO #coronawet #kerkdiensten https://t.co/Bltyfxkhb4,True,SGP,False
janiedejong,,60,425,1380,2020-10-07 22:21:30,[],@SGPnieuws,“Stel je eens voor dat er een God is...”Ga voor de hele bijdrage van @keesvdstaaij naar: https://t.co/zeWdLnmWEO #coronawet #kerkdiensten https://t.co/Bltyfxkhb4,True,SGP,False
ZanBizar,,2519,2308,149245,2020-10-07 22:20:54,"[{'text': 'Spoedwet', 'indices': [50, 59]}]",@SGPnieuws,"Ik begrijp dat @SGPnieuws  de #Spoedwet  wil steunen op voorwaarde dat de kerken lekker met 650 op een kluitje mogen zingen. Zo niet, dan steunt Keesje 't pakket maatregelen niet. Ik noem dat chantage.",True,SGP,False
AlbertoSiebener,,293,25,325,2020-10-07 22:11:27,[],@SGPnieuws,@SGPnieuws @keesvdstaaij Dit heeft me over de streep getrokken: voor het eerst in mijn leven ga ik SGP stemmen. Meer van dit perspectief in de Kamer! Dank @keesvdstaaij!,False,SGP,False
TuijlWim,,162,430,59488,2020-10-07 22:00:41,[],@SGPnieuws,@TwitPollNL @keesvdstaaij @SGPnieuws Wanneer houdt het op met die bullshit,True,SGP,False
margarethlee,"Almere, the Netherlands",139,37,312,2020-10-07 22:00:05,[],@SGPnieuws,"@SGPnieuws @keesvdstaaij Wij willen een echt spirituele regering, die ziekte niet meer macht toeschrijft dan God. Ik sta onder geen wet dan die van God. (ECIW les 76) https://t.co/NKoUyePC0r",False,SGP,False
TuijlWim,,162,430,59488,2020-10-07 21:59:37,[],@SGPnieuws,@TwitPollNL @keesvdstaaij @SGPnieuws Als de regels er dan toch zijn gelijke monniken gelijke kappen,True,SGP,False
TuijlWim,,162,430,59488,2020-10-07 21:59:30,[],@SGPnieuws,@Ben44808093 @TwitPollNL @keesvdstaaij @SGPnieuws Geen gelijke monniken.,False,SGP,False
TuijlWim,,162,430,59488,2020-10-07 21:58:37,[],@SGPnieuws,@TwitPollNL @ikbenchristen @keesvdstaaij @SGPnieuws Christelijk geloof heeft een transcendente werkelijkheid. Niet-gelovigen missen die dimensie. Zien kerkdienst dus als theatervoorstelling of als wedstrijd van je favoriete voetbalclub. Elkaar uitsluitende werkelijkheden.,True,SGP,False
TuijlWim,,162,430,59464,2020-10-07 21:57:55,[],@SGPnieuws,@TwitPollNL @ikbenchristen @keesvdstaaij @SGPnieuws Christelijk geloof heeft een transcendente werkelijkheid. Niet-gelovigen missen die dimensie. Zien kerkdienst dus als theatervoorstelling of als wedstrijd van je favoriete voetbalclub. Elkaar uitsluitende werkelijkheden.,False,SGP,False
VandeWerkvloer,Holland,883,371,4226,2020-10-07 21:43:59,[],@SGPnieuws,"@TPOnl @Hannesz1956 Tegenvaller die @SGPnieuws @keesvdstaaij vandaag, zo zie je maar weer...",False,SGP,False
Eindtijdbode,,381,387,15226,2020-10-07 21:43:51,[],@SGPnieuws,“Stel je eens voor dat er een God is...”Ga voor de hele bijdrage van @keesvdstaaij naar: https://t.co/zeWdLnmWEO #coronawet #kerkdiensten https://t.co/Bltyfxkhb4,True,SGP,False
EcoMovehouten,Nederland,1274,966,80003,2020-10-07 21:28:17,"[{'text': 'Spoedwet', 'indices': [50, 59]}]",@SGPnieuws,"Ik begrijp dat @SGPnieuws  de #Spoedwet  wil steunen op voorwaarde dat de kerken lekker met 650 op een kluitje mogen zingen. Zo niet, dan steunt Keesje 't pakket maatregelen niet. Ik noem dat chantage.",True,SGP,False
peetvl,Nl,56,38,4737,2020-10-07 21:24:20,"[{'text': 'vaccinatie', 'indices': [127, 138]}, {'text': 'vaccin', 'indices': [152, 159]}]",@SGPnieuws,@ctw49 @KrijtjevdStoep @SGPnieuws @keesvdstaaij Ze vergeten dat het ook andersom werkt. Geen toegang tot allerlei zaken zonder #vaccinatie !Dan is dat #vaccin niet verplicht.,False,SGP,False
peetvl,Nl,56,38,4737,2020-10-07 21:20:09,"[{'text': 'spoedwet', 'indices': [78, 87]}, {'text': 'anderhalvemeter', 'indices': [200, 216]}, {'text': 'maaknietnormaalwatnietnormaalis', 'indices': [218, 250]}]",@SGPnieuws,"@KrijtjevdStoep @SGPnieuws Dat werkt alleen voor, niet na de invoering van de #spoedwet want dan is het plots noodzaak om ook de groepen in de kerk te beperken.Slaapt lekker door met deze verplichte #anderhalvemeter #maaknietnormaalwatnietnormaalis",False,SGP,False
RuitenbergJan,"Kesteren, Neder-Betuwe",151,39,828,2020-10-07 21:17:46,"[{'text': 'coronamaatregelen', 'indices': [188, 206]}, {'text': 'corona', 'indices': [207, 214]}]",@SGPnieuws,@fransweisglas @keesvdstaaij @SGPnieuws Beste Frans. Vandaag weer 5000 positief getesten. Houd u alstublieft gewoon aan de afspraken van de overheid. En @MinPres: roep hem daartoe op aub. #coronamaatregelen #corona,False,SGP,False
Dapperedodo2,,530,445,24518,2020-10-07 21:03:00,[],@SGPnieuws,@povermania @ArmeZeeuw @cdavandaag @SGPnieuws @christenunie Schijnheiligen.,False,SGP,False
ajkunz,Katwijk,152,921,728,2020-10-07 21:02:57,[],@SGPnieuws,"@fransweisglas @keesvdstaaij @SGPnieuws Jammer meneer @fransweisglas, ik volg u graag, maar als u op de hoogte bent van huidige besmettingshaarden, dan zijn dat niet in de eerste plaats de kerken, en zeker niet Staphorst; laten we niet één enkele groep blamen maar gewoon allemaal voorzichtig zijn.",True,SGP,False
Dapperedodo2,,530,445,24518,2020-10-07 21:02:05,"[{'text': 'spoedwet', 'indices': [16, 25]}]",@SGPnieuws,#spoedwet aan alle stemmers op het @cdavandaag @SGPnieuws @christenunie jullie ziel is verkocht aan de duivel!,True,SGP,False
DadoHenri,,134,83,7572,2020-10-07 20:53:04,[],@SGPnieuws,@SGPnieuws @keesvdstaaij Prijs de Here en Gods zegen AMEN,False,SGP,False
RobertH35481414,,74,99,1875,2020-10-07 20:50:05,"[{'text': 'spoedwet', 'indices': [16, 25]}]",@SGPnieuws,#spoedwet aan alle stemmers op het @cdavandaag @SGPnieuws @christenunie jullie ziel is verkocht aan de duivel!,True,SGP,False
WillemHartskamp,Hoogeveen,522,419,13574,2020-10-07 20:48:41,[],@SGPnieuws,@fransweisglas @keesvdstaaij @SGPnieuws Sterker nog...Ik hoop dat de kerken doorgaan zondag. Geen besmettingen in kerken. Je kunt beter een voorbeeld nemen aan de kerk. Veilig en hygienisch.,False,SGP,False
Sustainable2050,Netherlands,1394,31178,104823,2020-10-07 20:46:16,[],@SGPnieuws,"@Twundit @kimvsparrentak @JoriendeLege @SGPnieuws Nee, maar wel van een paar kanten.",False,SGP,False
Vautour75_,,784,178,9364,2020-10-07 20:45:06,[],@SGPnieuws,“Stel je eens voor dat er een God is...”Ga voor de hele bijdrage van @keesvdstaaij naar: https://t.co/zeWdLnmWEO #coronawet #kerkdiensten https://t.co/Bltyfxkhb4,True,SGP,False
Twundit,"Utrecht, The Netherlands",2243,1165,48858,2020-10-07 20:44:57,[],@SGPnieuws,@Sustainable2050 @kimvsparrentak @JoriendeLege @SGPnieuws Nu moet de raad nog besluiten.Dat het parlement wat hoger inzet is deel van die trialoog... de lidstaten zullen van alle kanten gaan knibbelen en blokkeren.,False,SGP,False
beppiederooy,Gouda,1669,1331,8173,2020-10-07 20:39:42,[],@SGPnieuws,@fransweisglas @keesvdstaaij @SGPnieuws Wees dan creatief of origineel en verzin een ander dorp of groep,False,SGP,False
ArmeZeeuw,,194,323,25744,2020-10-07 20:38:05,"[{'text': 'spoedwet', 'indices': [16, 25]}]",@SGPnieuws,#spoedwet aan alle stemmers op het @cdavandaag @SGPnieuws @christenunie jullie ziel is verkocht aan de duivel!,True,SGP,False
fransweisglas,,189,15214,51848,2020-10-07 20:22:43,[],@SGPnieuws,@JeffreySchipper @keesvdstaaij @SGPnieuws Dat suggereer ik niet,False,SGP,False
fransweisglas,,189,15214,51848,2020-10-07 20:20:57,[],@SGPnieuws,@beppiederooy @keesvdstaaij @SGPnieuws Dat geldt dan toch ook voor de mensen in Staphorst?,False,SGP,False
praelian,,292,21,84,2020-10-07 20:20:30,[],@SGPnieuws,“Stel je eens voor dat er een God is...”Ga voor de hele bijdrage van @keesvdstaaij naar: https://t.co/zeWdLnmWEO #coronawet #kerkdiensten https://t.co/Bltyfxkhb4,True,SGP,False
_736207422735,Brabant,114,68,288,2020-10-07 20:19:48,[],@SGPnieuws,@RutgervdNoort @tdenooijer @SGPnieuws Die achter het raam ?,False,SGP,False
